Title,Link,Description
눈·비 온 뒤 기온 뚝… 이번주 전국이 영하권으로 춥다,https://n.news.naver.com/mnews/article/469/0000718451?sid=102,"광주·전남 영하 6~영하 1도, 전북 영하 8~영하 4도, 대전·세종·충남 영하 9~영하 5도, 충북 영하 8~영하 6도... 강원 경찰 당국은 이날 폭설로 100여 건의 교통사고가 발생한 것으로 추계했다. 16일까지 더 내리는 눈은... "
유치장서 술 취해 난동…시장·아파트서 불,http://www.jndn.com/article.php?aid=1673774631352867005,주말 광주·전남 지역에서 폭행·화재 등 사건·사고로 얼룩졌다. 15일 서부경찰서는 새벽 0시 50분께 유치장에서 술에 취해 다른 수감자를 폭행한 A씨(36)를 입건했다. A씨는 서부경찰서 유치장에서 다른 수감자를... 
[인사] 광주경찰청,http://www.breaknews.com/943702,◇ 경정 승진 ▲ 광주경찰청 수사부 형사 과학수사 염기회 ▲ 서부 112 정찬민... Examiner Sinheung-nam (Gwangju=Break News) Reporter Lee Hak-soo 원본 기사 보기:브레이크뉴스 전남
이병호 농어촌공사 사장 새만금 농생명용지 현장 점검,http://www.breaknews.com/943697,전북경찰청에 수사를 의뢰했다. 공사는 수사결과에 따라 계약 해지와 향후 입찰... the guidelines and related regulations for public offering.&quot; 원본 기사 보기:브레이크뉴스 전남
&quot;설명절은 주차걱정 없는 전통시장에서…&quot;,http://www.namdonews.com/news/articleView.html?idxno=710698,광주 양동시장./남도일보 자료사진 설 연휴기간 광주 양동시장과 목포 자유시장 등 광주·전남지역 70개 전통시장 주변도로에 주차가 허용된다. 행정안전부와 경찰청은 설명절을 맞아 전통시장 이용객들의 편의를... 
설 연휴 무료주차는 “여기”.. 전통시장 주변 ‘461곳’ 공영주차장도 개방,https://n.news.naver.com/mnews/article/661/0000018935?sid=102,"다음 경기 71곳, 전남 61곳, 강원 48곳, 경북 33곳, 인천 25곳, 대구 22곳, 부산 21곳, 대전 17곳, 충북 16곳, 전북 15곳, 충남 12곳, 경남 10곳 순이며 광주 9곳, 울산 8곳, 제주 7곳, 세종 1곳 정도입니다. 행안부와 경찰 등은 도로... "
‘비닐봉투 안 줘서’ 편의점에 차 돌진…역주행 충돌 1명 사망,https://n.news.naver.com/mnews/article/056/0011410897?sid=102,"경찰은 숨진 운전자의 혈액을 채취해 음주 여부 등을 조사하고 있습니다. 오늘 새벽 1시쯤엔 전남 목포시 상동의 48층짜리 아파트 승강기에서 불이 나 20여 분 만에 꺼졌습니다. 아파트 주민 60여 명이 대피했는데, 인명... "
[설맞이] 24일까지 맘 놓고 장 보세요⋯461곳 전통시장이 ‘주차허용구간’으...,https://n.news.naver.com/mnews/article/662/0000012889?sid=103,"지역 경찰서 의견을 수렴해 선정했다. 지역별로는 서울 85곳, 부산 21곳, 대구 22곳, 인천, 25곳,  광주 9곳, 대전 17곳, 울산 8곳, 세종 1곳 등이다. 이어 경기 71곳, 강원 48곳, 충북 16곳, 충남 12곳, 전남 61곳, 경북 33곳, 경남... "
사설&gt;가슴쓸어내린 설 대목 전통시장 화재,http://www.jnilbo.com/69476967130,"경찰과 소방당국은 수족관에서 불이 나 번진 것이 아닌가 보고 정확한 화재 경위를 조사하고 있다.... 광주·전남 전통시장에서 최근 5년간(2017~2022년 8월) 발생한 화재는 17건으로 주로 합선이나 과부하 등 전기, 부주의가... "
전남도 인사,http://www.jnilbo.com/69476742129,양경옥 △자치경찰위원회 서회정 △동부지역본부 김종원 △동부지역본부 신구원 △동부지역본부 김옥남... 음영규 △전남사회서비스원 고이녀 △(재)남도장터 윤선주 △녹색성장위원회 김경탁 △문화재청 이성훈... 
설연휴 전통시장 주변도로 461개소 주차허용,http://www.kukinews.com/newsView/kuk202301150039,행정안전부와 경찰청은 오는 24일까지 전국 461개 전통시장 주변 도로에서 주차할 수 있다고 15일 밝혔다.... (무주) ◇ 전남(26개소) ▲중앙시장(목포) ▲일로재래시장 ▲무안5일장(무안) ▲남평5일장 ▲다시5일장... 
인사&gt; 전남도,http://www.jnilbo.com/69474593022,양경옥 ▲자치경찰위원회 서회정 ▲동부지역본부 김종원 ▲동부지역본부 신구원 ▲동부지역본부 김옥남... 음영규 ▲전남사회서비스원 고이녀 ▲(재)남도장터 윤선주 ▲녹색성장위원회 김경탁 ▲문화재청 이성훈... 
영암에서 승용차 간 추돌‥60대 운전자 숨져,https://n.news.naver.com/mnews/article/214/0001247916?sid=102,어젯밤(14) 9시 5분쯤 전남 영암군 신북면의 한 도로에서 65살 남성이 승용차를 몰다 앞서가던 차량을 들이받았습니다. 이 사고로 65살 남성 운전자가 크게 다쳐 병원으로 옮겨졌지만 숨졌습니다. 경찰은 앞서가던... 
목포 고층 아파트 승강기 화재‥60여 명 대피,https://n.news.naver.com/mnews/article/214/0001247915?sid=102,"1시쯤 전남 목포시 상동의 한 48층 아파트 승강기에서 불이 나 20여분 만에 진화됐습니다. 이 불로 인명피해는 없었지만 주민 등 60여 명이 대피했고, 이 가운데 일부는 연기를 마셔 병원에서 치료를 받았습니다. 경찰과... "
"해수부, 중국발 추정 &apos;괭생이모자반&apos; 비상 대응체제 본격 가동",http://www.econonews.co.kr/news/articleView.html?idxno=273646,"괭생이모자반이 전남 신안군, 진도군 도서 인근 해상에서 발견됨에 따라 지난 9일부터 비상 대응체제를 본격 가동했다고 15일 밝혔다. 해양수산부는 지난 8일 해양경찰청의 항공 관측 결과 신안군, 진도군 인근 해상에 약 0.... "
전남 영암 승용차 추돌 ‘60대 운전자 숨져’,https://n.news.naver.com/mnews/article/002/0002273168?sid=102,중 숨졌으며 앞서 달리던 승용차 운전자는 타박상만 입은 것으로 알려졌다. 한편 두 운전자 모두 음주운전은 하지 않은 것으로 전해졌으며 경찰은 부상자와 차량 블랙박스 등을 분석해 정확한 사고 경위를 조사하고 있다.
"여수서 낚시 어선 전복, 해경 승선원 6명 모두 구조",https://n.news.naver.com/mnews/article/032/0003199169?sid=102,전남 여수에서 낚시 어선이 전복됐다. 배에 타고 있던 6명은 해양경찰에 모두 구조됐다. 15일 오전 11시5분쯤 여수시 남면 금오도 남쪽 500ｍ 해상에서 1t급 낚시어선이 전복됐다. 어선에는 낚시꾼 등 6명이 타고 있었다.... 
설 대목 맞아 전국 461개 전통시장 주변에 주차 가능해진다,https://n.news.naver.com/mnews/article/366/0000869915?sid=102,"지방자치단체와 경찰청이 차량 소통·안전 등을 고려해 한시적으로 정한 323곳이다. 서울이 85곳으로 가장 많고, 이어 경기 71곳, 전남 61곳, 강원 48곳, 경북 33곳, 인천 25곳, 대구 22곳, 부산 21곳, 대전 17곳, 충북 16곳... "
